"1","1","2","2","4","2017-04-13 18:00:00"
"2","2","1",NULL,NULL,"2017-05-04 00:00:00"
"1","d123456","1","Lasse","Schone","2017-04-13 09:44:13",NULL
"2","d5435435","1","Davy ","Klaassen","2017-04-13 09:44:13",NULL
"3","d545454","1","Hakim ","Ziyech","2017-04-13 09:45:47",NULL
"4","d666555","1","Kasper","Dolberg","2017-04-13 09:45:47",NULL
"5","d74745","2","Luuk","de Jong","2017-04-13 09:48:23",NULL
"6","d987665","2","Siem","de Jong","2017-04-13 09:48:23",NULL
"7","d11555","2","Jeroen","Zoet","2017-04-13 09:48:23",NULL
"8","d544566","2","Hector","Moreno","2017-04-13 09:48:23",NULL
"11","D223013","3","Lex","Krooswijk","2017-04-21 10:03:58",NULL
"12","D223013","3","Dion","Rodie","2017-04-21 10:04:50",NULL
"13","D223013","3","kutay","Yal","2017-04-21 10:05:14",NULL
"14","D223013","3","Tim","Verhijen","2017-04-21 10:05:46",NULL
"15","D223013","4","Youri","van der Sande","2017-04-21 10:29:36",NULL
"16","D223013","1","Test","Rodie","2017-04-21 11:38:59",NULL
"17","D223013","1","Test2","test","2017-04-21 11:42:03",NULL
"18","D223013","5","Test3","Test3","2017-04-21 11:44:22",NULL
"19","D223013","1","Test4","Rodie","2017-04-21 12:15:27",NULL
"20","D223013","4","Test","test10","2017-05-01 14:40:45",NULL
"21","D223013","6","Lexxieee","Elton","2017-05-01 15:08:26",NULL
"6","Poule A","2017-04-20 16:34:12",NULL
"7","Poule B","2017-05-01 15:52:51",NULL
"1","1","Ajax","2017-04-13 09:42:45",NULL
"2","1","PSV","2017-04-13 09:42:45",NULL
"3","10","Test","2017-04-20 16:05:01",NULL
"4","5","Real Madrid","2017-04-20 16:11:12",NULL
"5","2","LeXXor","2017-04-21 08:47:53",NULL
"6","1","LeXXoRR","2017-05-01 15:05:37",NULL
"7","7","Dionnie","2017-05-01 15:53:39",NULL
"2","Admin","exLrlV0.RIF2Y","admin@yahoo.ru","2","2017-04-06 13:23:17",NULL
"3","Dion","exLrlV0.RIF2Y","dionrodie@hotmail.com","1","2017-05-01 11:28:21",NULL
"4","Dion","exLrlV0.RIF2Y","test@yahoo.ru","1","2017-05-01 12:22:22",NULL
